date,mosquito_Indicator,rain(mm),mean_T(℃),min_T(℃),max_T(℃)
2017-08-06,"3,718",5.0,29.8,28.2,34.0
2017-08-07,"4,362",0.0,29.2,26.4,34.4
2017-08-08,"3,885",0.0,28.2,25.5,31.0
2017-08-09,"4,233",2.5,27.6,24.6,32.0
2017-08-10,"3,702",5.5,24.8,23.9,26.3
2017-08-11,"3,911",0.5,27.0,23.9,32.4
2017-08-12,"3,936",0.0,27.8,23.2,32.6
2017-08-13,"4,018",0.0,26.3,24.2,28.4
2017-08-14,"3,627",1.5,24.6,23.1,27.1
2017-08-15,"3,615",93.5,21.9,20.8,24.0
2017-08-16,"3,351",2.0,23.3,20.5,26.8
2017-08-17,"3,658",0.5,24.8,21.2,27.7
2017-08-18,"3,363",0.0,26.3,23.9,30.6
2017-08-19,"3,944",0.0,26.1,23.1,28.7
2017-08-20,"3,978",124.5,23.2,22.0,25.8
2017-08-21,"3,829",5.0,25.8,23.7,29.2
2017-08-22,"3,847",0.0,27.3,23.4,31.5
2017-08-23,"3,702",31.5,27.2,24.6,30.2
2017-08-24,"3,662",14.0,26.5,23.9,28.1
2017-08-25,"3,156",0.0,25.3,22.2,30.6
2017-08-26,"4,089",0.0,24.2,19.0,29.2
2017-08-27,"3,381",0.0,22.7,19.0,26.7
2017-08-28,"2,979",9.0,21.5,18.3,26.5
2017-08-29,"2,347",0.0,19.5,17.0,24.0
2017-08-30,"3,011",0.0,19.8,16.1,23.9
2017-08-31,"2,853",0.0,22.2,16.6,27.6
2017-09-01,"3,435",0.0,23.3,17.1,29.7
2017-09-02,"2,928",0.0,23.8,18.6,29.6
2017-09-03,"3,160",0.0,23.7,19.0,29.2
2017-09-04,"3,549",0.0,24.6,19.7,30.1
2017-09-05,"3,307",0.0,21.9,20.4,23.7
2017-09-06,"2,985",2.0,20.6,18.5,24.0
2017-09-07,"2,874",0.0,22.4,17.8,27.5
2017-09-08,"3,519",0.0,24.3,20.4,29.9
2017-09-09,"3,789",0.0,23.8,19.2,28.2
